timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-08T1200,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,22,18,21,8,6,70,70,58,58,8,6,6,6,0.4,0.4
2026-05-08T1200,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,24,7,17,6,6,74,74,61,61,6,6,6,6,0.2,0.2
2026-05-08T1200,2695A,80.2899,41.1684,阿克苏地区,电视台,细颗粒物(PM2.5),224,221,234,174,138,68,68,61,61,16,16,2,3,0.4,0.5
2026-05-08T1200,2696A,80.2592,41.1541,阿克苏地区,艺术中心,细颗粒物(PM2.5),146,170,185,110,103,76,76,60,60,11,30,3,4,0.5,0.6
2026-05-08T1200,2205A,105.699,38.8409,阿拉善盟,蒙二幼,NA,NA,NA,29,NA,6,NA,NA,113,NA,NA,8,NA,10,NA,0.3
2026-05-08T1200,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,40,40,27,6,7,114,114,106,106,5,4,9,9,0.4,0.4
2026-05-08T1200,2708A,88.1266,47.8515,阿勒泰地区,市站,,29,29,25,3,4,92,92,88,86,8,7,5,5,0.1,0.2
2026-05-08T1200,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,37,37,30,3,3,90,90,86,82,5,5,5,5,0.1,0.1
2026-05-08T1200,2630A,80.1171,32.4999,阿里地区,阿里监测站,,38,NA,63,17,28,120,120,104,104,4,5,7,10,0.3,0.3
2026-05-08T1200,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,38,22,56,3,22,121,121,101,101,2,4,6,7,0.4,0.4
2026-05-08T1200,2644A,109.0088,32.6974,安康市,汉滨区检察院,,34,34,34,19,12,44,44,14,14,11,11,7,5,0.4,0.3
2026-05-08T1200,4054A,109.0324,32.6913,安康市,市邮政管理局,,50,50,40,21,15,53,53,20,20,12,11,8,7,0.5,0.4
2026-05-08T1200,2291A,117.0806,30.5181,安庆市,环科院,,49,49,40,25,27,120,120,97,97,7,7,9,7,0.4,0.5
2026-05-08T1200,2292A,117.0331,30.5118,安庆市,马山宾馆,,50,50,40,25,27,116,116,97,97,9,8,7,5,0.4,0.5
2026-05-08T1200,2294A,116.9897,30.6146,安庆市,安庆大学,,38,36,36,15,24,120,120,101,101,7,8,6,4,0.4,0.4
2026-05-08T1200,3173A,117.0598,30.5351,安庆市,市人大,NA,NA,56,41,23,26,116,116,97,97,10,6,6,5,NA,0.5
2026-05-08T1200,3123A,105.9408,26.2431,安顺市,凤凰山,,42,42,47,29,28,96,96,79,77,7,8,5,8,0.6,0.6
2026-05-08T1200,3124A,105.9443,26.2567,安顺市,金钟山,NA,NA,41,46,23,26,83,83,68,66,5,5,6,8,NA,0.5
2026-05-08T1200,3125A,105.8983,26.248,安顺市,娄家坡,,50,50,46,28,27,86,86,72,69,6,7,11,8,0.6,0.5
